No,Title_,City_district,Place_rooms,Price,House area,Rooms No.,Floors,Contruction,Installation,Heating,Year of construction,Land area (a)
42,Namas pardavimui,Vilnius,"Aukštasis Pavilnys, Taugotiškių g. id:923489 4 kmb.",283000,96.0,4,2,Plytinis,,Dujinis,2014,2.77
43,Namas pardavimui,Šiaulių r. sav.,"Meškiai, Gėlių g. id:929172 5 kmb.",165000,195.0,5,2,Plytinis,,,1994,6.7
44,Namas pardavimui,Elektrėnų sav.,Vievininkai id:929167 4 kmb.,170000,78.0,4,1,Plytinis,,,2022,16.35
45,Sodyba pardavimui,Elektrėnų sav.,Vievininkai id:929166 4 kmb.,70000,55.0,4,2,Plytinis,,,2007,15.28
46,Namas pardavimui,Vilnius,"Balsiai, Kryžiokų Sodų 9-oji g. id:929159 3 kmb.",150000,103.0,3,2,Blokinis,Tvarkingas,,1982,5.69
47,Namas pardavimui,Kauno r. sav.,"Naujasodis, Politechnikos g. id:917482 4 kmb.",189000,111.0,4,2,Plytinis,,,2023,2.75
48,Namas pardavimui,Švenčionių r. sav.,"Pabradė, A. Mickevičiaus g. id:929141 6 kmb.",65000,151.0,6,1,Medinis,Tvarkingas,Kietu kuru,1940,45.45
49,Namas pardavimui,Vilnius,"Salininkai, Skaisteros g. id:928995 6 kmb.",55000,89.0,6,2,Plytinis,,Dujinis,1968,6.0
50,Sodyba pardavimui,Kaišiadorių r. sav.,"Pavuolis, Antakalnio g. id:929138 4 kmb.",39500,76.0,4,1,Medinis,,Kietu kuru,1927,60.52
51,Namas pardavimui,Vilnius,"Pilaitė, Kriaučiūnų g. id:929136 4 kmb.",325000,107.0,4,2,Plytinis,,,2022,1.48
52,Namas pardavimui,Vilnius,"Tarandė, Gailašių g. id:929133 4 kmb.",360000,119.0,4,1,Plytinis,Naujas,Dujinis,2023,5.08
53,Namo Dalis pardavimui,Vilnius,"Šnipiškės, Giedraičių g. id:929130 6 kmb.",275000,108.0,6,1,Plytinis,,,1940,3.0
54,Namas pardavimui,Mažeikių r. sav.,"Laižuva, Stoties g. id:929122 2 kmb.",25000,39.0,2,1,Plytinis,Naujas,"Dujinis, Kietu kuru",1910,28.0
55,Sodo Namas pardavimui,Mažeikių r. sav.,"Troškučiai, Šaltinėlio 15-oji g. id:929121 1 kmb.",22000,21.0,1,1,Plytinis,,Kietu kuru,1989,45.45
56,Namas pardavimui,Mažeikių r. sav.,"Viekšniai, Vytauto g. id:929119 4 kmb.",18000,97.0,4,1,,,Kietu kuru,1880,16.3
57,Namas pardavimui,Kretingos r. sav.,Erlėnai id:929117 3 kmb.,38000,67.0,3,1,Plytinis,Naujas,Dujinis,1976,16.0
58,Sodyba pardavimui,Mažeikių r. sav.,"Židikai, Mažeikių g. id:929116 5 kmb.",37000,82.0,5,1,Plytinis,Naujas,"Dujinis, Kietu kuru",1968,21.6
59,Namas pardavimui,Mažeikių r. sav.,"Viekšniai, Vinkšnų g. id:929113 2 kmb.",23000,61.0,2,2,Medinis,,"Dujinis, Kietu kuru",1934,4.8
60,Namas pardavimui,Klaipėdos r. sav.,"Dercekliai, Bijūnų g. id:929110 2 kmb.",20000,62.0,2,2,Plytinis,,Kietu kuru,1987,6.09
61,Namas pardavimui,Kaunas,"Romainiai, E. Volterio g. id:917882",122000,74.0,4,2,Plytinis,,,2024,2.4
62,Namas pardavimui,Jurbarko r. sav.,"Smalininkai, Tvenkinio g. id:894371 4 kmb.",41000,110.0,4,2,Mūrinis,Įrengtas,Kietu kuru,1989,17.0
63,Sodyba pardavimui,Vilnius,"Naujoji Vilnia, Kranto g. id:929107 6 kmb.",308000,321.0,6,2,Plytinis,,,2012,35.0
64,Namas pardavimui,Vilnius,"Kalnėnai, Suomių g. id:929108 5 kmb.",689500,253.0,5,2,Plytinis,Tvarkingas,Dujinis,2011,9.8
65,Namas pardavimui,Vilniaus r. sav.,"Mickūnai, Jaunimo g. id:919537 6 kmb.",99000,203.0,6,2,Plytinis,,Kietu kuru,1972,13.5
66,Sodyba pardavimui,Kauno r. sav.,"Ramučiai, Parko g. id:929100 8 kmb.",375000,428.0,8,2,Plytinis,,Dujinis,2007,16.26
67,Namas pardavimui,Kaunas,"Aleksotas, J. Petruičio g. id:929097 6 kmb.",220000,325.0,6,2,Plytinis,,Dujinis,1994,6.0
68,Namas pardavimui,Kauno r. sav.,"Giraitė, Beržų g. id:929093 6 kmb.",485000,229.0,6,2,Plytinis,,Elektrinis,2019,11.5
69,Namas pardavimui,Kaunas,"Marvelė, Marvelės g. id:929092 4 kmb.",279000,154.0,4,2,Plytinis,,Dujinis,2014,8.6
70,Namas pardavimui,Kaunas,"Lampėdžiai, Romuvos g. id:929090 5 kmb.",575000,355.0,5,2,Plytinis,,Dujinis,1994,5.59
71,Namas pardavimui,Kaunas,"Žaliakalnis, Gerovės skg. id:929089 5 kmb.",349000,146.0,5,1,,,Dujinis,1957,5.98
72,Namas pardavimui,Kaunas,"Vilijampolė, Panerių g. id:929085 4 kmb.",254800,183.0,4,1,Plytinis,,Dujinis,2006,5.8
73,Namas pardavimui,Anykščių r. sav.,"Anykščiai, K. Ladigos g. id:929075 5 kmb.",59000,75.0,5,2,,,Kietu kuru,1940,5.48
74,Namas pardavimui,Vilnius,"Tarandė, Bijūnų g. id:929078 5 kmb.",465000,116.0,5,1,,,,2006,6.0
75,Namas pardavimui,Vilnius,"Naujaneriai, Naujanerių Sodų 2-oji g. id:896000 2 kmb.",69000,79.0,2,2,Plytinis,,Kietu kuru,2015,6.1
76,Namas pardavimui,Vilnius,"Antakalnis, Rokantiškių g. id:929072 4 kmb.",279990,148.0,4,2,Plytinis,,,2024,5.04
77,Namas pardavimui,Vilnius,"Bajorai, Šaulio g. id:929070 4 kmb.",194990,120.0,4,1,Plytinis,,,2023,5.0
78,Namas pardavimui,Vilnius,"Bajorai, Šaulio g. id:929069 4 kmb.",264990,120.0,4,1,Plytinis,,,2023,5.0
79,Namas pardavimui,Kunigiškės,Vingio g. id:873616 3 kmb.,298900,71.0,3,1,Plytinis,Įrengtas,Dujinis,2021,7.5
80,Namas pardavimui,Kunigiškės,Aido tak. id:710047 3 kmb.,219900,61.0,3,2,Plytinis,Įrengtas,Dujinis,2021,2.5
81,Namas pardavimui,Vilnius,"Antakalnis, Vaivos g. id:929064 5 kmb.",250000,213.0,5,1,Plytinis,Tvarkingas,Dujinis,2008,45.45
82,Sodyba pardavimui,Kretingos r. sav.,"Žibininkai, Liepų g. id:929050 16 kmb.",1200000,628.0,16,2,Plytinis,Naujas,Dujinis,2008,710.0
83,Namas pardavimui,Palanga,Suvalkiečių g. id:929049 11 kmb.,710000,426.0,11,3,Plytinis,Naujas,Dujinis,2012,8.84
84,Namas pardavimui,Panevėžio r. sav.,"Janališkiai, Serbentų g. id:915746 4 kmb.",41900,84.0,4,2,Plytinis,,Kietu kuru,2007,6.3
85,Kotedžas pardavimui,Vilniaus r. sav.,"Gilužiai, Slėnio g. id:929047 4 kmb.",299000,166.0,4,2,Plytinis,Naujas,Dujinis,2015,6.0
86,Sodyba pardavimui,Vilniaus r. sav.,Pašiliai id:929045 3 kmb.,449000,262.0,3,2,Blokinis,Tvarkingas,,2012,83.0
87,Sodyba pardavimui,Vilniaus r. sav.,"Pašiliai, Briedžių g. id:929044 3 kmb.",449000,262.0,3,2,Blokinis,Tvarkingas,,2012,83.0
88,Sodyba pardavimui,Skuodo r. sav.,"Ylakiai, Stripinių g. id:929037 4 kmb.",29000,88.0,4,1,,,"Dujinis, Kietu kuru",1905,40.0
89,Namas pardavimui,Kaunas,"Romainiai, Kaimelės g. id:929017 4 kmb.",223000,87.0,4,1,Plytinis,,Dujinis,2023,6.3
90,Sodyba pardavimui,Klaipėdos r. sav.,"Kisiniai, Bebrų g. id:929016 3 kmb.",35000,79.0,3,2,Plytinis,,Elektrinis,1989,6.25
91,Namas pardavimui,Kretingos r. sav.,"Lazdininkai, Joskaudų g. id:929015 5 kmb.",82000,120.0,5,2,Plytinis,,Kietu kuru,1977,30.49
92,Namas pardavimui,Kauno r. sav.,"Garliava, R. Mizaros g. id:929013 5 kmb.",130000,137.0,5,1,Plytinis,,Dujinis,1974,6.6
93,Namas pardavimui,Kaunas,"Amaliai, Medelyno g. id:929012 6 kmb.",94000,103.0,6,1,Plytinis,Naujas,Centrinis,1962,4.07
94,Namas pardavimui,Kaunas,"Žaliakalnis, Alantos g. id:929008 4 kmb.",85000,78.0,4,1,,,,1956,3.96
95,Namas pardavimui,Jurbarko r. sav.,"Griciai, Grybų g. id:929006 5 kmb.",16000,164.0,5,2,Plytinis,Naujas,Kietu kuru,1990,21.0
96,Sodyba pardavimui,Kauno r. sav.,"Voškoniai, Jurginų g. id:901773 3 kmb.",67800,67.0,3,1,Plytinis,Reikia remonto,Kietu kuru,1973,16.16
97,Namas pardavimui,Raseinių r. sav.,"Norgėlai, Žemaičių g. id:894375 6 kmb.",90000,181.0,6,2,Mūrinis,Įrengtas,Kietu kuru,1984,17.0
98,Namo Dalis pardavimui,Klaipėda,"Miškas, Miško g. id:856518 4 kmb.",133000,92.0,4,3,Plytinis,Įrengtas,Dujinis,1960,45.45
99,Namas pardavimui,Klaipėdos r. sav.,"Lyveriai, Ryto 4-oji g. id:928127 3 kmb.",129000,80.0,3,1,Karkasinis,Įrengtas,,2018,6.0
100,Namas pardavimui,Vilniaus r. sav.,Asiūklė id:921465 5 kmb.,155000,130.0,5,2,Plytinis,,,2023,3.0
101,Namas pardavimui,Vilniaus r. sav.,Asiūklė id:899898 5 kmb.,183000,149.0,5,2,Plytinis,,Dujinis,2023,7.5
102,Namas pardavimui,Šiaulių r. sav.,"Toliočiai, Sodelio g. id:925403 4 kmb.",114900,105.0,4,1,Plytinis,Naujas,Elektrinis,2021,10.0
103,Namas pardavimui,Vilniaus r. sav.,"Bratoniškės, Pavasario 4-oji g. id:928980 3 kmb.",72000,76.0,3,2,Plytinis,Tvarkingas,Kietu kuru,1987,16.0
104,Namas pardavimui,Klaipėda,"Rimkai, Rimkų g. id:796166 4 kmb.",148000,101.0,4,1,Karkasinis,Dalinė apdaila,Oras-vanduo,2022,10.0
105,Sodyba pardavimui,Utenos r. sav.,"Utena, Alyvų g. id:928958 4 kmb.",89000,89.0,4,2,,,Kietu kuru,1940,19.0
106,Namas pardavimui,Radviliškio r. sav.,"Pociūnėliai, Parko g. id:928944 4 kmb.",19500,174.0,4,2,Mūrinis,Įrengtas,Kietu kuru,1987,28.0
107,Namas pardavimui,Klaipėdos r. sav.,"Klemiškė II, Bitkalnio g. id:901849 4 kmb.",142000,80.0,4,1,Mūrinis,Naujas,Oras-vanduo,2022,45.45
108,Namas pardavimui,Vilniaus r. sav.,Didieji Karklėnai id:928939 4 kmb.,150000,180.0,4,2,Plytinis,,,2021,6.0
109,Sodyba pardavimui,Šiaulių r. sav.,Kairiai id:887805 5 kmb.,245000,295.0,5,2,Plytinis,,Dujinis,2014,12.0
110,Kotedžas pardavimui,Vilnius,"Pilaitė, Kulmo g. id:928932 4 kmb.",299000,92.0,4,2,Plytinis,,Dujinis,2021,4.0
111,Namas pardavimui,Šiauliai,"Žaliūkiai, Bubių g. id:928931 5 kmb.",137500,158.0,5,2,Plytinis,Tvarkingas,Dujinis,1960,5.89
112,Namas pardavimui,Šiauliai,"Šimšė, K. Kalinausko g. id:928928 12 kmb.",230000,504.0,12,3,Plytinis,Tvarkingas,Dujinis,1990,7.31
113,Namas pardavimui,Kaišiadorių r. sav.,"Kaišiadorys, Lomenos g. id:788396 4 kmb.",59900,103.28,4,1,Medinis,Įrengtas,"Dujinis, Kietu kuru",1969,6.0
