No,Title_,City_district,Place_rooms,Price,House area,Rooms No.,Floors,Contruction,Installation,Heating,Year of construction,Land area (a)
979,Namas pardavimui,Vilniaus r. sav.,"Rastinėnai, Vėtros g. id:925201 4 kmb.",175000,127.0,4,1,Plytinis,,,2022,12.0
980,Namas pardavimui,Utenos r. sav.,"Utena, Bokšto g. id:925186 4 kmb.",110000,101.0,4,1,Karkasinis,,Centrinis,2022,9.52
981,Namas pardavimui,Vilnius,"Antakalnis, Viršupio Sodų 1-oji g. id:925178 5 kmb.",398000,228.0,5,2,Plytinis,,Dujinis,2007,5.68
982,Sodyba pardavimui,Varėnos r. sav.,"Degsnės, Degsnių g. id:912049 4 kmb.",12000,131.0,4,1,Medinis,,Kietu kuru,1920,15.0
983,Namas pardavimui,Vilnius,"Pilaitė, Danės g. id:923137 4 kmb.",325000,92.0,4,2,Plytinis,,,2019,1.57
984,Namas pardavimui,Vilnius,"Antakalnis, Sadūniškių g. id:924627 5 kmb.",245000,147.0,5,2,Plytinis,,,2024,5.5
985,Namas pardavimui,Vilniaus r. sav.,"Kuprioniškės, Baltarusių g. id:924901 5 kmb.",370000,227.0,5,1,Plytinis,,,2024,15.0
986,Namas pardavimui,Trakų r. sav.,"Dobrovolė, Ateities g. id:925168 4 kmb.",225000,122.0,4,2,Plytinis,,,2024,8.0
987,Namas pardavimui,Vilnius,"Naujoji Vilnia, Pramonės g. id:875780 5 kmb.",219000,151.0,5,2,Plytinis,,,2022,6.5
988,Namas pardavimui,Vilniaus r. sav.,"Vaidotai, Rėvos g. id:925160 4 kmb.",190000,130.0,4,1,Plytinis,,,2022,7.5
989,Namas pardavimui,Trakų r. sav.,"Moluvėnai, Moluvėnų g. id:923596 4 kmb.",56999,102.0,4,2,Plytinis,,Kietu kuru,2011,6.49
990,Namas pardavimui,Vilnius,"Balsiai, Krakiškių g. id:925147 3 kmb.",175000,104.0,3,1,Plytinis,,,2021,17.07
991,Kotedžas pardavimui,Vilnius,"Tarandė, Vaivadiškių g. id:925088",345000,128.0,4,2,Plytinis,,,2023,3.5
992,Sodyba pardavimui,Kretingos r. sav.,Būbeliai id:660864 4 kmb.,259000,198.0,4,1,,,,2016,48.0
993,Namas pardavimui,Kėdainių r. sav.,"Pajieslys, Deveikiškių g. id:925126",25000,84.0,4,2,,,,1978,28.0
994,Namas pardavimui,Panevėžio r. sav.,"Vaivadai, Vyturių g. id:897060 4 kmb.",199900,218.0,4,2,Plytinis,,Dujinis,2009,5.64
995,Namas pardavimui,Klaipėdos r. sav.,"Gargždai, Užuovėjos g. id:925115 4 kmb.",165000,85.0,4,1,Mūrinis,Įrengtas,Dujinis,2023,3.0
996,Namas pardavimui,Klaipėdos r. sav.,"Gargždai, Užuovėjos g. id:806935 4 kmb.",165000,85.0,4,1,Mūrinis,Įrengtas,Oras-vanduo,2022,4.0
997,Namo Dalis pardavimui,Klaipėda,"Centras, Parko g. id:886351 4 kmb.",138000,125.0,4,1,Mūrinis,Renovuotas pastatas,Dujinis,1960,2.0
998,Sodyba pardavimui,Šiaulių r. sav.,Skačiai id:914704 2 kmb.,25000,75.0,2,2,,,Kietu kuru,1968,58.0
999,Namas pardavimui,Šiaulių r. sav.,"Kuršėnai, Žalioji g. id:916258 7 kmb.",75000,157.0,7,2,Plytinis,,"Dujinis, Kietu kuru",1980,5.7
1000,Namas pardavimui,Vilnius,"Visoriai, Didžiulio g. id:925106 3 kmb.",155000,48.0,3,2,Plytinis,,"Dujinis, Kietu kuru",1998,7.72
1001,Sodo Namas pardavimui,Kretingos r. sav.,"Jokūbavas, Miško g. id:925105 4 kmb.",89000,101.25,4,2,Mūrinis,Įrengtas,Kietu kuru,2005,6.0
1002,Namas pardavimui,Radviliškio r. sav.,"Rokoniai, Mokyklos g. id:925099 2 kmb.",29000,140.0,2,1,Mūrinis,Įrengtas,Kietu kuru,1957,70.0
1003,Sodyba pardavimui,Kelmės r. sav.,"Karklėnai, Alyvų g. id:925058 3 kmb.",37900,70.0,3,2,Plytinis,,Kietu kuru,1977,64.0
1004,Namas pardavimui,Utenos r. sav.,Kaniūkai id:925055 7 kmb.,34999,89.0,7,2,Plytinis,,,1977,14.0
1005,Namas pardavimui,Vilniaus r. sav.,"Daržininkai, Filaretų g. id:872041 5 kmb.",280000,197.0,5,1,Mūrinis,Įrengtas,Kietu kuru,2016,12.0
1006,Namas pardavimui,Vilnius,"Lazdynėliai, Dubliškių g. id:357615 6 kmb.",650000,580.0,6,3,Mūrinis,Įrengtas,Geoterminis,2010,24.0
1007,Kotedžas pardavimui,Vilniaus r. sav.,"Klevinė, Senasis Ukmergės kel. id:920647 4 kmb.",189999,138.0,4,2,Plytinis,,Dujinis,2007,5.0
1008,Namas pardavimui,Vilniaus r. sav.,"Rastinėnai, Mėtų 5-oji g. id:888085 3 kmb.",69500,60.0,3,1,Karkasinis,,,2023,6.0
1009,Namas pardavimui,Šiaulių r. sav.,"Pailiai, Trumpoji g. id:920993 5 kmb.",210000,182.0,5,2,Plytinis,,Kietu kuru,2012,10.0
1010,Namas pardavimui,Šiauliai,"Šimšė, Vilkaviškio g. id:900267 5 kmb.",150000,313.0,5,2,Plytinis,,Dujinis,1995,7.72
1011,Sodo Namas pardavimui,Klaipėdos r. sav.,"Dercekliai, Preilos g. id:925041 3 kmb.",50000,73.0,3,2,Mūrinis,Įrengtas,Kietu kuru,1997,9.0
1012,Namas pardavimui,Vilniaus r. sav.,"Nemėžis, V. Sirokomlės g. id:925039 4 kmb.",175000,121.0,4,1,Mūrinis,Dalinė apdaila,Oras-vanduo,2023,45.45
1013,Namas pardavimui,Vilniaus r. sav.,"Didžiasalis, Rudens g. id:902292 4 kmb.",98000,198.0,4,1,Plytinis,,"Dujinis, Geoterminis",2023,20.0
1014,Namas pardavimui,Vilnius,"Antakalnis, Sadūniškių g. id:925037 4 kmb.",199000,145.0,4,2,Mūrinis,Naujas,Oras-vanduo,2022,45.45
1015,Namas pardavimui,Klaipėdos r. sav.,"Klemiškė II, Žiburių g. id:887116 4 kmb.",131000,171.0,4,1,Mūrinis,Neįrengtas,Elektrinis,2022,10.0
1016,Namas pardavimui,Šiauliai,"Centras, P. Lukšio g. id:917192 3 kmb.",64500,99.0,3,1,,,Kietu kuru,1952,6.42
1017,Namas pardavimui,Panevėžio r. sav.,"Tičkūnai, Astrų g. id:908530 3 kmb.",39000,45.0,3,2,,,Elektrinis,1986,45.45
1018,Sodo Namas pardavimui,Klaipėdos r. sav.,"Kiškėnai, Upelio tak. id:910243 3 kmb.",74000,150.0,3,2,Mūrinis,Įrengtas,Kietu kuru,1989,6.0
1019,Namas pardavimui,Vilniaus r. sav.,"Mickūnai, Stanislavo Moravskio g. id:925024 4 kmb.",148000,97.0,4,1,Mūrinis,Dalinė apdaila,Oras-vanduo,2022,45.45
1020,Namas pardavimui,Kauno r. sav.,"Ramučiai, Gėlių 1-asis tak. id:893489 4 kmb.",129000,80.0,4,2,Mūrinis,Dalinė apdaila,Oras-oras,2023,4.0
1021,Sodyba pardavimui,Šiauliai,"Rėkyva, Žilvičio Sodų 4-oji g. id:920095 1 kmb.",25500,20.0,1,1,Medinis,,,2000,10.41
1022,Namas pardavimui,Vilniaus r. sav.,"Riešė, Siesarčio g. id:919666 8 kmb.",465000,377.0,8,2,,,,2017,18.0
1023,Sodyba pardavimui,Vilniaus r. sav.,Karvys id:881470 4 kmb.,312215,100.0,4,1,,,,2024,10.0
1024,Sodyba pardavimui,Vilniaus r. sav.,Karvys id:879757 5 kmb.,525288,175.0,5,1,,,,2024,50.0
1025,Sodyba pardavimui,Vilniaus r. sav.,Karvys id:881469 3 kmb.,281602,80.0,3,1,,,,2024,10.0
1026,Namas pardavimui,Vilnius,"Antakalnis, Vyrių Sodų 1-oji g. id:881455 4 kmb.",77000,93.0,4,2,,,,1988,5.8
1027,Sodyba pardavimui,Vilniaus r. sav.,Karvys id:881468 3 kmb.,226986,50.0,3,1,,,,2024,10.0
1028,Sodyba pardavimui,Vilniaus r. sav.,Karvys id:881467 3 kmb.,197764,35.0,3,1,,,,2024,10.0
1029,Sodyba pardavimui,Vilnius,"Užupis, Srovės g. id:911919 7 kmb.",1300000,333.0,7,3,,,,2002,17.8
1030,Kotedžas pardavimui,Vilnius,"Antakalnis, Migūnų g. id:917311 4 kmb.",274900,131.0,4,2,,,,2023,5.4
1031,Namas pardavimui,Kaunas,"Senamiestis, J. Gruodžio g. id:921039 12 kmb.",240000,295.0,12,4,Plytinis,,,1938,1.95
1032,Namas pardavimui,Kaunas,"Aleksotas, Gižų g. id:905452 5 kmb.",369999,250.0,5,1,Plytinis,,"Centrinis, Dujinis",2018,15.58
1033,Namas pardavimui,Kauno r. sav.,"Laumėnai, Luknės g. id:919760 2 kmb.",32000,95.0,2,1,Plytinis,,Kietu kuru,2000,6.08
1034,Sodyba pardavimui,Raseinių r. sav.,"Pašešuvys, Pilėnų g. id:878249 4 kmb.",35000,88.0,4,1,Plytinis,,Kietu kuru,1981,20.0
1035,Namas pardavimui,Prienų r. sav.,"Prienai, Kauno g. id:918280 4 kmb.",89000,165.0,4,1,,,Kietu kuru,1920,15.0
1036,Namas pardavimui,Kauno r. sav.,"Žemaitkiemis, Suopių g. id:924474 4 kmb.",188000,78.0,4,2,Plytinis,,Dujinis,2017,5.38
1037,Sodo Namas pardavimui,Mažeikių r. sav.,"Kurmaičiai, Žilvičio g. id:924957 2 kmb.",45000,55.0,2,1,Medinis,Naujas,Kietu kuru,1988,45.45
1038,Namas pardavimui,Kaišiadorių r. sav.,"Būtkiemis II, Ežero g. id:924953 5 kmb.",119000,130.0,5,2,,Naujas,Kietu kuru,1947,136.0
1039,Sodyba pardavimui,Kaišiadorių r. sav.,"Būtkiemis II, Ežero g. id:924952 5 kmb.",118999,130.0,5,2,,Naujas,Kietu kuru,1947,136.0
1040,Namas pardavimui,Panevėžio r. sav.,"Geležiai, Varpo g. id:924949 7 kmb.",44900,152.0,7,2,Plytinis,,"Dujinis, Kietu kuru",1962,23.3
1041,Namas pardavimui,Panevėžys,"Žemaičiai, Staniūnų g. id:924948 2 kmb.",37000,38.0,2,2,Plytinis,,Dujinis,1967,3.59
1042,Namas pardavimui,Panevėžio r. sav.,"Navaršonys, Navaršonių g. id:924947 4 kmb.",135000,109.0,4,2,,,Kietu kuru,2003,44.0
1043,Namas pardavimui,Panevėžys,"Žemaičiai, Žemaičių g. id:924946 3 kmb.",88000,82.0,3,2,Karkasinis,,Kietu kuru,1938,3.92
1044,Namas pardavimui,Vilniaus r. sav.,"Rastinėnai, Vilties g. id:903925 4 kmb.",89000,80.0,4,1,Karkasinis,,,2023,5.6
1045,Namas pardavimui,Šiauliai,"Centras, Vilniaus g. id:924942 3 kmb.",150000,60.0,3,1,Plytinis,,Dujinis,1955,5.9
1046,Kotedžas pardavimui,Vilnius,"Kalnėnai, Valonų g. id:924537 4 kmb.",245000,92.0,4,3,Plytinis,,Dujinis,2019,1.36
1047,Namas pardavimui,Vilniaus r. sav.,"Ąžuolinė, Dovanų 3-ioji g. id:924939 6 kmb.",289000,197.0,6,2,Karkasinis,,,2017,8.6
1048,Kotedžas pardavimui,Vilniaus r. sav.,"Didžioji Riešė, Raudonikių g. id:924938 4 kmb.",255000,118.0,4,2,Plytinis,,,2022,2.36
1049,Namas pardavimui,Vilnius,"Antakalnis, Gvazdikų Sodų 1-oji g. id:915093 5 kmb.",330000,175.0,5,2,Plytinis,,Dujinis,2017,10.36
1050,Kotedžas pardavimui,Vilniaus r. sav.,"Avižieniai, Sudervės g. id:921007 5 kmb.",339500,146.0,5,1,,,,2023,45.45
1051,Namas pardavimui,Vilniaus r. sav.,Užudvarionys id:898802 5 kmb.,270000,145.0,5,1,Plytinis,,,2023,7.5
1052,Namas pardavimui,Vilniaus r. sav.,"Bukiškis, Žiedų g. id:898796 5 kmb.",270000,145.0,5,1,Plytinis,,,2023,7.5
1053,Namas pardavimui,Kėdainių r. sav.,"Kėdainiai, Šėtos g. id:860404 3 kmb.",37600,55.0,3,1,Plytinis,,Kietu kuru,1948,2.52
1054,Namas pardavimui,Vilniaus r. sav.,"Klevinė, Senasis Ukmergės kel. id:849362 5 kmb.",350000,169.0,5,2,,,,2004,23.58
1055,Namas pardavimui,Šalčininkų r. sav.,"Didžiosios Zubiškės, Sodų g. id:924907 3 kmb.",7500,65.0,3,1,Plytinis,,Kietu kuru,1967,30.0
1056,Namas pardavimui,Vilnius,"Valakampiai, Svajonių g. id:924905 5 kmb.",745000,206.0,5,3,Plytinis,,Dujinis,2012,2.02
1057,Namas pardavimui,Vilniaus r. sav.,"Juodiškės, Rožių 1-oji g. id:921632 2 kmb.",45000,30.0,2,1,,,,2023,6.0
1058,Namas pardavimui,Vilnius,"Pilaitė, Sidaronių g. id:924898 3 kmb.",199000,55.0,3,2,Plytinis,,,2023,1.5
1059,Namas pardavimui,Panevėžio r. sav.,"Puodžiūnai, Puodžiūnų g. id:924897 3 kmb.",15000,68.0,3,1,Karkasinis,,Kietu kuru,1967,33.0
1060,Kotedžas pardavimui,Vilnius,"Tarandė, Užubalių g. id:924896 5 kmb.",284999,120.0,5,2,Plytinis,,,2017,6.44
1061,Namas pardavimui,Vilnius,"Aukštieji Paneriai, Žaizdrių g. id:911576 4 kmb.",299000,168.0,4,1,Plytinis,,,2024,8.03
1062,Kotedžas pardavimui,Vilnius,"Antakalnis, Meiriškių g. id:924889 4 kmb.",299000,119.0,4,2,,,,2017,4.0
1063,Namas pardavimui,Vilniaus r. sav.,"Viktariškės, Prekybos 3-ioji g. id:914040 3 kmb.",60000,38.0,3,1,Plytinis,,Elektrinis,1974,6.3
1064,Kotedžas pardavimui,Vilnius,"Senamiestis, Tilto g. id:918118",718000,207.0,4,1,Plytinis,,Dujinis,1940,4.32
1065,Namas pardavimui,Panevėžio r. sav.,"Janališkiai, Klevų g. id:924409 1 kmb.",55000,58.0,1,1,Plytinis,,,2024,5.69
1066,Namas pardavimui,Vilnius,"Balsiai, Kryžiokų Sodų 2-oji g. id:924849 5 kmb.",269000,180.0,5,2,Monolitinis,Tvarkingas,,2003,6.0
1067,Namas pardavimui,Rokiškio r. sav.,"Bagdoniškis, Dvaro g. id:924839 2 kmb.",9000,40.0,2,1,Rąstinis,Įrengtas,Kietu kuru,1967,37.0
1068,Namas pardavimui,Kelmės r. sav.,"Kelmė, A. Mackevičiaus g. id:924838 3 kmb.",53000,69.0,3,1,Plytinis,,Kietu kuru,1958,6.03
1069,Namas pardavimui,Kauno r. sav.,"Noreikiškės, Kaštonų g. id:918746 7 kmb.",549000,302.0,7,2,Plytinis,,Dujinis,2021,10.0
1070,Sodyba pardavimui,Zarasų r. sav.,"Užtiltė, Žirgų g. id:908130 4 kmb.",19900,72.0,4,1,Rąstinis,Įrengtas,Kietu kuru,1955,22.0
1071,Kotedžas pardavimui,Klaipėda,"Vingis, Vingio g. id:924766 5 kmb.",274000,289.0,5,3,Plytinis,Įrengtas,Dujinis,2005,45.45
1072,Namas pardavimui,Kretingos r. sav.,"Parąžė, Beržų 1-oji g. id:922930 3 kmb.",135000,166.0,3,2,,,,1998,45.45
1073,Namas pardavimui,Klaipėdos r. sav.,"Šnaukštai, Agluonos 9-oji g. id:733146",15000,40.0,4,1,Plytinis,,,2000,6.0
1074,Namas pardavimui,Klaipėdos r. sav.,"Slengiai, Žvyro g. id:924697 5 kmb.",293000,182.0,5,2,Mūrinis,Įrengtas,"Dujinis, Kietu kuru",2016,7.0
1075,Namas pardavimui,Klaipėda,"Mažasis Kaimelis, Dobilo 1-oji g. id:924696 3 kmb.",199000,80.0,3,2,Mūrinis,Naujas,Dujinis,2020,6.0
1076,Namas pardavimui,Utenos r. sav.,"Utena, Jaunystės g. id:802784 6 kmb.",115000,178.0,6,2,Mūrinis,Įrengtas,"Centrinis, Kietu kuru",1994,15.0
1077,Namas pardavimui,Vilniaus r. sav.,"Pakenė, Vilnelės g. id:919090 4 kmb.",116000,171.0,4,2,Plytinis,,Skystas kuras,1971,28.0
1078,Namas pardavimui,Vilnius,"Pilaitė, Šventapilės g. id:885466 3 kmb.",159900,79.0,3,1,Plytinis,,,2023,11.9
1079,Namas pardavimui,Vilnius,"Baltupiai, Kalvarijų g. id:924668 4 kmb.",450000,293.0,4,1,Plytinis,,Centrinis,2019,2.8
1080,Namas pardavimui,Vilnius,"Pilaitė, Liepų g. id:922675 3 kmb.",139000,129.0,3,1,Plytinis,,Dujinis,1981,17.7
1081,Kotedžas pardavimui,Vilnius,"Tarandė, Žozefo Pusjė g. id:924648 5 kmb.",179000,86.0,5,2,Plytinis,,,2023,1.27
1082,Sodyba pardavimui,Marijampolės sav.,"Liucinavas, Liepų g. id:916327 4 kmb.",50000,89.0,4,1,,,Kietu kuru,1965,60.0
1083,Sodyba pardavimui,Šiauliai,"Rėkyva, Vaivorykštės Sodų 2-oji g. id:923143 5 kmb.",195000,108.0,5,1,Plytinis,,Elektrinis,2005,12.0
1084,Namas pardavimui,Šiaulių r. sav.,"Aukštelkė, Sietyno g. id:924641 4 kmb.",263000,188.0,4,2,Plytinis,,Dujinis,2010,16.03
1085,Sodo Namas pardavimui,Vilnius,"Balsiai, Kryžiokų g. id:873727 1 kmb.",79500,42.0,1,1,Medinis,,Kietu kuru,1990,8.09
1086,Namas pardavimui,Ukmergės r. sav.,"Ukmergė, Putinų g. id:924634 5 kmb.",79000,110.0,5,2,Plytinis,,Dujinis,1977,8.0
1087,Kotedžas pardavimui,Trakų r. sav.,"Naujasis Lentvaris, Senojo Vingio g. id:882377 4 kmb.",164000,108.0,4,1,Plytinis,,,2023,6.2
1088,Kotedžas pardavimui,Trakų r. sav.,"Naujasis Lentvaris, Senojo Vingio g. id:875662 4 kmb.",234000,108.0,4,1,Plytinis,,,2023,6.2
1089,Namas pardavimui,Vilniaus r. sav.,"Geležiai, Balandžių g. id:886910 5 kmb.",398000,162.0,5,2,Plytinis,,Dujinis,2019,5.0
1090,Sodyba pardavimui,Širvintų r. sav.,"Dailidžionys, Miško g. id:887323 5 kmb.",215000,172.0,5,1,Plytinis,,,2011,41.5
1091,Kotedžas pardavimui,Vilnius,"Verkiai, Tilto g. id:924633 3 kmb.",197000,82.0,3,2,Plytinis,,,2018,5.14
1092,Kotedžas pardavimui,Vilnius,"Naujininkai, Šumsko g. id:924631 4 kmb.",299000,113.0,4,2,Plytinis,,,2018,3.75
1093,Namas pardavimui,Vilnius,"Antakalnis, Sadūniškių g. id:924630 5 kmb.",255000,146.0,5,2,Plytinis,,,2024,5.0
1094,Namas pardavimui,Vilnius,"Antakalnis, Sadūniškių g. id:924629 5 kmb.",265000,150.0,5,2,Plytinis,,,2024,5.0
1095,Namas pardavimui,Vilnius,"Antakalnis, Sadūniškių g. id:924628 5 kmb.",235000,147.0,5,2,Plytinis,,,2024,5.5
1096,Sodyba pardavimui,Ignalinos r. sav.,Pamunė id:924623 4 kmb.,170000,106.0,4,2,Medinis,,Kietu kuru,2017,34.0
1097,Sodyba pardavimui,Švenčionių r. sav.,Rėkučiai id:924621 4 kmb.,155000,135.0,4,2,,,,2015,46.7
1098,Kotedžas pardavimui,Klaipėda,"Vingis, Vingio g. id:924584 6 kmb.",255000,292.0,6,3,Plytinis,Tvarkingas,Dujinis,2005,2.0
1099,Namas pardavimui,Kaunas,"Žaliakalnis, Liškiavos g. id:924579 3 kmb.",208000,141.0,3,2,Plytinis,Tvarkingas,Dujinis,1992,10.3
1100,Kotedžas pardavimui,Kauno r. sav.,"Narsiečiai, Povilo Revento g. id:924555 4 kmb.",360000,134.0,4,2,Karkasinis,Naujas,,2023,4.0
1101,Kotedžas pardavimui,Vilniaus r. sav.,"Klevinė, Šaltalankių g. id:918864 4 kmb.",249900,112.0,4,2,Plytinis,,Dujinis,2013,2.75
1102,Kotedžas pardavimui,Vilniaus r. sav.,"Didžioji Riešė, Riešės g. id:924536 4 kmb.",249900,112.0,4,2,Plytinis,,Dujinis,2013,2.75
1103,Kotedžas pardavimui,Vilnius,"Bajorai, Mokslininkų g. id:924535 4 kmb.",249900,112.0,4,2,Plytinis,,Dujinis,2013,2.75
1104,Kotedžas pardavimui,Vilnius,"Tarandė, Riešės g. id:924534 4 kmb.",249900,112.0,4,2,Plytinis,,Dujinis,2013,2.75
1105,Kotedžas pardavimui,Vilnius,"Žemieji Paneriai, Medaus g. id:923620 4 kmb.",169000,118.0,4,1,Plytinis,,,2023,5.65
1106,Namas pardavimui,Vilnius,"Aukštasis Pavilnys, Ernesto Galvanausko g. id:921518 4 kmb.",269000,146.0,4,2,Plytinis,,,2024,5.15
1107,Sodyba pardavimui,Kaišiadorių r. sav.,Kubiliai id:923979 2 kmb.,98000,64.0,2,1,Plytinis,,Kietu kuru,1964,906.0
1108,Namas pardavimui,Kauno r. sav.,"Pypliai, Šaltinio g. id:924477 4 kmb.",194500,109.0,4,1,Plytinis,,,2024,9.86
1109,Kotedžas pardavimui,Palanga,Savanorių g. id:924524 3 kmb.,140000,40.0,3,2,Plytinis,,Dujinis,2022,2.22
1110,Sodyba pardavimui,Molėtų r. sav.,Melužiai id:924523 3 kmb.,45000,77.0,3,1,,,Kietu kuru,1929,42.17
1111,Sodyba pardavimui,Molėtų r. sav.,Pivoriūnai id:924522 4 kmb.,99000,77.0,4,1,,,Kietu kuru,1935,75.0
1112,Sodyba pardavimui,Molėtų r. sav.,"Pušalotai, Lauko g. id:924520 2 kmb.",35000,80.0,2,1,,,Kietu kuru,1938,226.0
1113,Namas pardavimui,Prienų r. sav.,"Jiestrakis, Taikos g. id:924517 4 kmb.",155000,102.0,4,1,Plytinis,,Centrinis,1973,22.1
1114,Namas pardavimui,Šiaulių r. sav.,"Gervėnai, Beržų g. id:924516 4 kmb.",34000,98.0,4,2,Plytinis,,Kietu kuru,1992,10.0
1115,Namas pardavimui,Šalčininkų r. sav.,Šalčininkai id:920184 2 kmb.,45000,75.0,2,1,,,Kietu kuru,1987,6.0
1116,Namas pardavimui,Vilnius,"Pilaitė, Sauluvos g. id:917011 4 kmb.",310000,99.0,4,2,Plytinis,,,2019,1.2
1117,Namas pardavimui,Vilniaus r. sav.,"Vėliučionys, Liepų al. id:917001 6 kmb.",165000,164.0,6,2,Plytinis,,Elektrinis,2014,5.0
1118,Sodyba pardavimui,Kupiškio r. sav.,Tvirai id:918515 2 kmb.,8900,63.0,2,2,Plytinis,,,1971,34.0
1119,Kotedžas pardavimui,Kauno r. sav.,"Ringaudai, Graužės g. id:924486 4 kmb.",209000,148.0,4,1,Plytinis,Naujas,Dujinis,1993,4.0
1120,Namas pardavimui,Kauno r. sav.,"Varluva, Genio g. id:924485 5 kmb.",200000,214.0,5,1,Plytinis,Naujas,Dujinis,2023,18.28
1121,Namas pardavimui,Jonavos r. sav.,"Jurkonys, Gėlių g. id:923629 3 kmb.",35000,45.0,3,2,Karkasinis,Naujas,Kietu kuru,2005,6.1
1122,Namas pardavimui,Kaunas,"Rokai, Rokų g. id:906021 9 kmb.",119000,204.0,9,2,Plytinis,,Kietu kuru,1964,16.39
1123,Namas pardavimui,Kaunas,"Vaišvydava, Užvingių g. id:896972 4 kmb.",239900,137.0,4,1,Plytinis,,,2024,6.75
1124,Namas pardavimui,Kaunas,"Vaišvydava, Užvingių g. id:896971 4 kmb.",211500,117.0,4,1,Plytinis,,,2024,8.05
1125,Kotedžas pardavimui,Kauno r. sav.,"Giraitė, Adolfo Šapokos g. id:910834 4 kmb.",209900,105.0,4,2,Plytinis,,Dujinis,2022,1.87
1126,Namas pardavimui,Kauno r. sav.,"Jonučiai, Šermukšnių g. id:924481 6 kmb.",315000,215.0,6,2,Plytinis,,Centrinis,2023,10.5
1127,Kotedžas pardavimui,Palanga,Parko g. id:924471 3 kmb.,258000,102.0,3,2,,,Dujinis,2019,45.45
1128,Sodyba pardavimui,Mažeikių r. sav.,"Šerkšnėnai, Vyšnių g. id:867365 5 kmb.",53000,101.0,5,2,Plytinis,,Kietu kuru,1981,35.0
1129,Namas pardavimui,Vilniaus r. sav.,"Rudamina, Aušros g. id:924466 5 kmb.",279000,230.0,5,2,Plytinis,,Dujinis,1989,24.44
1130,Namas pardavimui,Marijampolės sav.,Tarpučiai id:924463 10 kmb.,264000,334.0,10,2,,Naujas,Skystas kuras,1993,6.0
1131,Sodyba pardavimui,Vilniaus r. sav.,"Užuežerė, Paplūdimio g. id:918363 8 kmb.",349000,191.0,8,2,Plytinis,,Kietu kuru,2008,39.0
1132,Namas pardavimui,Rokiškio r. sav.,"Kalviai, Tvenkinio g. id:922519 6 kmb.",43000,160.0,6,2,Plytinis,,Kietu kuru,1989,45.45
1133,Sodyba pardavimui,Širvintų r. sav.,Bagaslaviškis id:919501 7 kmb.,69000,300.0,7,2,,,Kietu kuru,2003,24.5
1134,Sodyba pardavimui,Akmenės r. sav.,"Naujoji Akmenė, Vėlaičių g. id:924458 5 kmb.",149000,146.0,5,1,Plytinis,,Kietu kuru,1995,14.93
1135,Namas pardavimui,Švenčionių r. sav.,Daumilai id:919219 3 kmb.,65900,83.0,3,1,,,Kietu kuru,1954,24.57
1136,Namas pardavimui,Kupiškio r. sav.,"Kupiškis, Šimtmečio g. id:900514 4 kmb.",99900,149.0,4,2,Plytinis,,Dujinis,1974,5.0
1137,Namas pardavimui,Vilnius,"Aukštasis Pavilnys, Mykolo Krupavičiaus g. id:924447 5 kmb.",345000,174.0,5,1,Plytinis,,Dujinis,2012,9.0
1138,Namas pardavimui,Alytaus r. sav.,"Alytus, Lelijų g. id:924441 3 kmb.",180000,79.0,3,1,Plytinis,,Elektrinis,2022,5.85
1139,Namas pardavimui,Alytaus r. sav.,"Bazorai, Vyšnių g. id:924440 3 kmb.",56000,83.0,3,2,Plytinis,,,2023,6.29
1140,Namas pardavimui,Vilnius,"Kalnėnai, Armėnų g. id:846367 4 kmb.",715000,228.0,4,2,Plytinis,,,2021,9.0
1141,Namas pardavimui,Vilnius,"Naujoji Vilnia, Eglinės Sodų g. id:924427 4 kmb.",84000,79.0,4,2,Plytinis,,,2022,6.0
1142,Sodyba pardavimui,Vilniaus r. sav.,"Baronai, Menų g. id:924426 3 kmb.",65000,86.0,3,2,Plytinis,,Kietu kuru,1982,6.0
1143,Namas pardavimui,Molėtų r. sav.,"Užtilčiai, Gėluoto g. id:860284 6 kmb.",48000,108.0,6,2,,,Kietu kuru,1940,209.0
1144,Namas pardavimui,Šalčininkų r. sav.,Jašiūnai id:879424 7 kmb.,225000,271.0,7,2,Plytinis,,Kietu kuru,2012,15.0
1145,Namas pardavimui,Vilnius,"Naujoji Vilnia, Linksmoji g. id:908253",23000,37.0,4,2,Plytinis,,,1996,45.45
1146,Namas pardavimui,Vilniaus r. sav.,"Didžiasalis, Bitininkų g. id:924423 4 kmb.",315000,167.0,4,1,Plytinis,,,2024,10.0
1147,Namas pardavimui,Vilniaus r. sav.,"Didžiasalis, Bitininkų g. id:924422 4 kmb.",220000,107.0,4,1,Plytinis,,,2024,5.0
1148,Namas pardavimui,Vilnius,"Bajorai, Bajorų Kelio 1-oji g. id:909183 4 kmb.",280000,127.0,4,2,,,Centrinis,2006,5.95
1149,Namas pardavimui,Vilnius,"Antakalnis, Taurijos g. id:911593 4 kmb.",289000,97.0,4,1,Plytinis,,,2022,4.01
1150,Namas pardavimui,Varėnos r. sav.,"Varėna, Šilo g. id:911800 7 kmb.",150000,314.0,7,2,Plytinis,,,1986,15.96
1151,Namas pardavimui,Vilnius,"Antakalnis, Nemenčinės pl. id:924416 4 kmb.",419000,160.0,4,2,Plytinis,,,2024,7.5
1152,Namas pardavimui,Vilniaus r. sav.,"Antežeriai, Taikos g. id:924415 4 kmb.",189000,126.0,4,1,Plytinis,,,2024,15.0
